"Fecha","Prediccion"
2012-10-03,1065
2012-10-04,1079
2012-10-05,1118
2012-10-06,328
2012-10-07,7
2012-10-08,846
2012-10-09,1046
2012-10-10,1189
2012-10-11,1204
2012-10-12,1248
2012-10-13,366
2012-10-14,8
2012-10-15,19
2012-10-16,1168
2012-10-17,1327
2012-10-18,1344
2012-10-19,1393
2012-10-20,409
2012-10-21,8
2012-10-22,1054
2012-10-23,1303
2012-10-24,1481
2012-10-25,1500
2012-10-26,1555
2012-10-27,456
2012-10-28,9
2012-10-29,1176
2012-10-30,1455
2012-10-31,1653
2012-11-01,1095
2012-11-02,1135
2012-11-03,333
2012-11-04,7
2012-11-05,17
2012-11-06,1062
2012-11-07,1207
2012-11-08,1222
2012-11-09,1267
2012-11-10,372
2012-11-11,8
2012-11-12,19
2012-11-13,1186
2012-11-14,1347
2012-11-15,1364
2012-11-16,1414
2012-11-17,415
2012-11-18,9
2012-11-19,1070
2012-11-20,1323
2012-11-21,1504
2012-11-22,1523
2012-11-23,1578
2012-11-24,463
2012-11-25,10
2012-11-26,1194
2012-11-27,1477
2012-11-28,1678
2012-11-29,1699
2012-11-30,1762
2012-12-01,415
2012-12-02,9
2012-12-03,1071
2012-12-04,1324
2012-12-05,1505
2012-12-06,1524
2012-12-07,1579
2012-12-08,9
2012-12-09,10
2012-12-10,1195
2012-12-11,1478
2012-12-12,1679
2012-12-13,1701
2012-12-14,1763
2012-12-15,517
2012-12-16,11
2012-12-17,1334
2012-12-18,1650
2012-12-19,1874
2012-12-20,1898
2012-12-21,1968
2012-12-22,577
2012-12-23,12
2012-12-24,1489
2012-12-25,37
2012-12-26,2092
2012-12-27,2119
2012-12-28,2196
2012-12-29,644
2012-12-30,13
2012-12-31,1662
2013-01-01,14
2013-01-02,792
2013-01-03,802
2013-01-04,831
2013-01-05,244
2013-01-06,5
2013-01-07,11
2013-01-08,778
2013-01-09,884
2013-01-10,895
2013-01-11,928
2013-01-12,272
2013-01-13,5
2013-01-14,629
2013-01-15,868
2013-01-16,987
2013-01-17,999
2013-01-18,1036
2013-01-19,304
2013-01-20,6
2013-01-21,702
2013-01-22,969
2013-01-23,1101
2013-01-24,1115
2013-01-25,1156
2013-01-26,339
2013-01-27,6
2013-01-28,784
2013-01-29,1082
2013-01-30,1229
2013-01-31,1245
2013-02-01,998
2013-02-02,293
2013-02-03,5
2013-02-04,677
2013-02-05,934
2013-02-06,1061
2013-02-07,1075
2013-02-08,1114
2013-02-09,327
2013-02-10,6
2013-02-11,755
2013-02-12,1043
2013-02-13,1185
2013-02-14,1200
2013-02-15,1243
2013-02-16,365
2013-02-17,7
2013-02-18,843
2013-02-19,1164
2013-02-20,1322
2013-02-21,1339
2013-02-22,1388
2013-02-23,407
2013-02-24,8
2013-02-25,941
2013-02-26,1299
2013-02-27,1476
2013-02-28,1495
2013-03-01,1028
2013-03-02,302
2013-03-03,6
2013-03-04,697
2013-03-05,962
2013-03-06,1093
2013-03-07,1107
2013-03-08,1147
2013-03-09,337
2013-03-10,6
2013-03-11,778
2013-03-12,1074
2013-03-13,1220
2013-03-14,1235
2013-03-15,1280
2013-03-16,376
2013-03-17,7
2013-03-18,868
2013-03-19,1198
2013-03-20,1361
2013-03-21,1379
2013-03-22,1429
2013-03-23,419
2013-03-24,8
2013-03-25,19
2013-03-26,1337
2013-03-27,1520
2013-03-28,31
2013-03-29,32
2013-03-30,468
2013-03-31,9
2013-04-01,669
2013-04-02,924
2013-04-03,1050
2013-04-04,1063
2013-04-05,1102
2013-04-06,323
2013-04-07,6
2013-04-08,747
2013-04-09,1031
2013-04-10,1172
2013-04-11,1187
2013-04-12,1230
2013-04-13,361
2013-04-14,7
2013-04-15,834
2013-04-16,1151
2013-04-17,1308
2013-04-18,1324
2013-04-19,1373
2013-04-20,403
2013-04-21,7
2013-04-22,931
2013-04-23,1285
2013-04-24,1460
2013-04-25,1478
2013-04-26,1532
2013-04-27,449
2013-04-28,8
2013-04-29,1039
2013-04-30,1434
2013-05-01,19
2013-05-02,970
2013-05-03,1006
2013-05-04,295
2013-05-05,5
2013-05-06,682
2013-05-07,941
2013-05-08,1070
2013-05-09,1083
2013-05-10,1123
2013-05-11,329
2013-05-12,6
2013-05-13,15
2013-05-14,1051
2013-05-15,1194
2013-05-16,1209
2013-05-17,1253
2013-05-18,368
2013-05-19,7
2013-05-20,849
2013-05-21,1173
2013-05-22,1332
2013-05-23,1349
2013-05-24,1399
2013-05-25,410
2013-05-26,8
2013-05-27,948
2013-05-28,1309
2013-05-29,1487
2013-05-30,1506
2013-05-31,1561
2013-06-01,294
2013-06-02,5
2013-06-03,14
2013-06-04,937
2013-06-05,1064
2013-06-06,1078
2013-06-07,1117
2013-06-08,328
2013-06-09,6
2013-06-10,15
2013-06-11,1046
2013-06-12,1188
2013-06-13,1203
2013-06-14,1247
2013-06-15,366
2013-06-16,7
2013-06-17,845
2013-06-18,1167
2013-06-19,1326
2013-06-20,1343
2013-06-21,1392
2013-06-22,408
2013-06-23,8
2013-06-24,944
2013-06-25,1303
2013-06-26,1480
2013-06-27,1499
2013-06-28,1554
2013-06-29,456
2013-06-30,8
2013-07-01,14
2013-07-02,932
2013-07-03,1058
2013-07-04,1072
2013-07-05,1111
2013-07-06,326
2013-07-07,6
2013-07-08,753
2013-07-09,1040
2013-07-10,1181
2013-07-11,1196
2013-07-12,1240
2013-07-13,364
2013-07-14,7
2013-07-15,841
2013-07-16,1160
2013-07-17,1319
2013-07-18,1335
2013-07-19,1384
2013-07-20,8
2013-07-21,8
2013-07-22,938
2013-07-23,1295
2013-07-24,1472
2013-07-25,1490
2013-07-26,1545
2013-07-27,453
2013-07-28,8
2013-07-29,1047
2013-07-30,1446
2013-07-31,1643
2013-08-01,1040
2013-08-02,1078
2013-08-03,316
2013-08-04,6
2013-08-05,731
2013-08-06,1009
2013-08-07,23
2013-08-08,1161
2013-08-09,1203
2013-08-10,353
2013-08-11,7
2013-08-12,816
2013-08-13,1126
2013-08-14,1279
2013-08-15,1296
2013-08-16,1343
2013-08-17,394
2013-08-18,7
2013-08-19,18
2013-08-20,1257
2013-08-21,1428
2013-08-22,1446
2013-08-23,1499
2013-08-24,440
2013-08-25,8
2013-08-26,1016
2013-08-27,1403
2013-08-28,1594
2013-08-29,1614
2013-08-30,1673
2013-08-31,491
2013-09-01,6
2013-09-02,691
2013-09-03,953
2013-09-04,1083
2013-09-05,1097
2013-09-06,1137
2013-09-07,334
2013-09-08,6
2013-09-09,771
2013-09-10,1064
2013-09-11,1209
2013-09-12,1224
2013-09-13,1269
2013-09-14,372
2013-09-15,7
2013-09-16,860
2013-09-17,1188
2013-09-18,1349
2013-09-19,1367
2013-09-20,1417
2013-09-21,416
2013-09-22,8
2013-09-23,960
2013-09-24,1326
2013-09-25,1506
2013-09-26,1525
2013-09-27,1581
2013-09-28,464
2013-09-29,9
2013-09-30,1072
2013-10-01,885
2013-10-02,1006
2013-10-03,1019
2013-10-04,1056
2013-10-05,310
2013-10-06,6
2013-10-07,716
2013-10-08,988
2013-10-09,1123
2013-10-10,1137
2013-10-11,1179
2013-10-12,346
2013-10-13,6
2013-10-14,16
2013-10-15,1103
2013-10-16,1253
2013-10-17,1269
2013-10-18,1315
2013-10-19,386
2013-10-20,7
2013-10-21,892
2013-10-22,1231
2013-10-23,1399
2013-10-24,1417
2013-10-25,1468
2013-10-26,431
2013-10-27,8
2013-10-28,995
2013-10-29,1374
2013-10-30,1561
2013-10-31,1581
2013-11-01,1072
2013-11-02,315
2013-11-03,6
2013-11-04,15
2013-11-05,1003
2013-11-06,1140
2013-11-07,1154
2013-11-08,1197
2013-11-09,351
2013-11-10,7
2013-11-11,16
2013-11-12,1120
2013-11-13,1272
2013-11-14,1289
2013-11-15,1336
2013-11-16,392
2013-11-17,7
2013-11-18,905
2013-11-19,1250
2013-11-20,1420
2013-11-21,1438
2013-11-22,1491
2013-11-23,437
2013-11-24,8
2013-11-25,1011
2013-11-26,1395
2013-11-27,1585
2013-11-28,1605
2013-11-29,1664
2013-11-30,488
2013-12-01,7
2013-12-02,906
2013-12-03,1251
2013-12-04,1421
2013-12-05,1439
2013-12-06,1492
2013-12-07,438
2013-12-08,0
2013-12-09,1011
2013-12-10,1396
2013-12-11,1586
2013-12-12,1606
2013-12-13,1665
2013-12-14,488
2013-12-15,9
2013-12-16,1129
2013-12-17,1558
2013-12-18,1770
2013-12-19,1793
2013-12-20,1858
2013-12-21,545
2013-12-22,10
2013-12-23,1260
2013-12-24,1739
2013-12-25,40
2013-12-26,2001
2013-12-27,2074
2013-12-28,608
2013-12-29,11
2013-12-30,1406
2013-12-31,1941
2014-01-01,15
2014-01-02,758
2014-01-03,785
2014-01-04,230
2014-01-05,4
2014-01-06,11
2014-01-07,658
2014-01-08,835
2014-01-09,846
2014-01-10,877
2014-01-11,257
2014-01-12,5
2014-01-13,594
2014-01-14,735
2014-01-15,932
2014-01-16,944
2014-01-17,978
2014-01-18,287
2014-01-19,5
2014-01-20,663
2014-01-21,820
2014-01-22,1040
2014-01-23,1054
2014-01-24,1092
2014-01-25,320
2014-01-26,6
2014-01-27,740
2014-01-28,916
2014-01-29,1161
2014-01-30,1176
2014-01-31,1219
2014-02-01,277
2014-02-02,5
2014-02-03,639
2014-02-04,790
2014-02-05,1002
2014-02-06,1015
2014-02-07,1052
2014-02-08,309
2014-02-09,6
2014-02-10,713
2014-02-11,882
2014-02-12,1119
2014-02-13,1133
2014-02-14,1174
2014-02-15,345
2014-02-16,6
2014-02-17,796
2014-02-18,985
2014-02-19,1249
2014-02-20,1265
2014-02-21,1311
2014-02-22,385
2014-02-23,7
2014-02-24,889
2014-02-25,1099
2014-02-26,1394
2014-02-27,1412
2014-02-28,1463
2014-03-01,285
2014-03-02,5
2014-03-03,658
2014-03-04,814
2014-03-05,1032
2014-03-06,1045
2014-03-07,1083
2014-03-08,318
2014-03-09,6
2014-03-10,734
2014-03-11,908
2014-03-12,1152
2014-03-13,1167
2014-03-14,1209
2014-03-15,355
2014-03-16,7
2014-03-17,820
2014-03-18,1014
2014-03-19,1286
2014-03-20,1302
2014-03-21,1350
2014-03-22,396
2014-03-23,7
2014-03-24,18
2014-03-25,1132
2014-03-26,1435
2014-03-27,1453
2014-03-28,1507
2014-03-29,442
2014-03-30,8
2014-03-31,1021
2014-04-01,782
2014-04-02,992
2014-04-03,1004
2014-04-04,1041
2014-04-05,305
2014-04-06,6
2014-04-07,706
2014-04-08,873
2014-04-09,1107
2014-04-10,1121
2014-04-11,1162
2014-04-12,341
2014-04-13,6
2014-04-14,788
2014-04-15,974
2014-04-16,1235
2014-04-17,25
2014-04-18,26
2014-04-19,380
2014-04-20,7
2014-04-21,879
2014-04-22,1087
2014-04-23,1379
2014-04-24,1396
2014-04-25,1447
2014-04-26,425
2014-04-27,8
2014-04-28,981
2014-04-29,1213
2014-04-30,1539
2014-05-01,18
2014-05-02,950
2014-05-03,279
2014-05-04,5
2014-05-05,644
2014-05-06,797
2014-05-07,1010
2014-05-08,1023
2014-05-09,1060
2014-05-10,311
2014-05-11,6
2014-05-12,719
2014-05-13,889
2014-05-14,1128
2014-05-15,1142
2014-05-16,1184
2014-05-17,347
2014-05-18,6
2014-05-19,802
2014-05-20,992
2014-05-21,1258
2014-05-22,1274
2014-05-23,1321
2014-05-24,388
2014-05-25,7
2014-05-26,895
2014-05-27,1108
2014-05-28,1405
2014-05-29,1422
2014-05-30,1474
2014-05-31,433
2014-06-01,5
2014-06-02,13
2014-06-03,793
2014-06-04,1005
2014-06-05,1018
2014-06-06,1055
2014-06-07,310
2014-06-08,6
2014-06-09,715
2014-06-10,885
2014-06-11,1122
2014-06-12,1136
2014-06-13,1178
2014-06-14,346
2014-06-15,6
2014-06-16,798
2014-06-17,988
2014-06-18,1252
2014-06-19,1268
2014-06-20,1315
2014-06-21,386
2014-06-22,7
2014-06-23,18
2014-06-24,1102
2014-06-25,1398
2014-06-26,1416
2014-06-27,1467
2014-06-28,430
2014-06-29,8
2014-06-30,20
2014-07-01,788
2014-07-02,1000
2014-07-03,1012
2014-07-04,1049
2014-07-05,308
2014-07-06,6
2014-07-07,711
2014-07-08,880
2014-07-09,1116
2014-07-10,1130
2014-07-11,1171
2014-07-12,344
2014-07-13,6
2014-07-14,794
2014-07-15,982
2014-07-16,1245
2014-07-17,1261
2014-07-18,1307
2014-07-19,384
2014-07-20,0
2014-07-21,886
2014-07-22,1096
2014-07-23,1390
2014-07-24,1408
2014-07-25,1459
2014-07-26,428
2014-07-27,8
2014-07-28,989
2014-07-29,1223
2014-07-30,1551
2014-07-31,1571
2014-08-01,1018
2014-08-02,299
2014-08-03,6
2014-08-04,690
2014-08-05,854
2014-08-06,1083
2014-08-07,22
2014-08-08,1136
2014-08-09,333
2014-08-10,6
2014-08-11,770
2014-08-12,953
2014-08-13,1208
2014-08-14,1224
2014-08-15,1268
2014-08-16,372
2014-08-17,7
2014-08-18,17
2014-08-19,1063
2014-08-20,1349
2014-08-21,1366
2014-08-22,1416
2014-08-23,415
2014-08-24,8
2014-08-25,960
2014-08-26,1187
2014-08-27,1505
2014-08-28,1524
2014-08-29,1580
2014-08-30,464
2014-08-31,9
2014-09-01,652
2014-09-02,807
2014-09-03,1023
2014-09-04,1036
2014-09-05,1074
2014-09-06,315
2014-09-07,6
2014-09-08,728
2014-09-09,900
2014-09-10,1142
2014-09-11,1156
2014-09-12,1199
2014-09-13,352
2014-09-14,7
2014-09-15,813
2014-09-16,1005
2014-09-17,1275
2014-09-18,1291
2014-09-19,1338
2014-09-20,392
2014-09-21,7
2014-09-22,907
2014-09-23,1122
2014-09-24,1423
2014-09-25,1441
2014-09-26,1493
2014-09-27,438
2014-09-28,8
2014-09-29,1012
2014-09-30,1252
2014-10-01,950
2014-10-02,962
2014-10-03,997
2014-10-04,293
2014-10-05,5
2014-10-06,676
2014-10-07,836
2014-10-08,1060
2014-10-09,1074
2014-10-10,1113
2014-10-11,327
2014-10-12,6
2014-10-13,15
2014-10-14,933
2014-10-15,1184
2014-10-16,1199
2014-10-17,1242
2014-10-18,364
2014-10-19,7
2014-10-20,842
2014-10-21,1042
2014-10-22,1321
2014-10-23,1338
2014-10-24,1387
2014-10-25,407
2014-10-26,8
2014-10-27,940
2014-10-28,1163
2014-10-29,1475
2014-10-30,1493
2014-10-31,1548
2014-11-01,297
2014-11-02,6
2014-11-03,14
2014-11-04,849
2014-11-05,1077
2014-11-06,1090
2014-11-07,1130
2014-11-08,332
2014-11-09,6
2014-11-10,766
2014-11-11,948
2014-11-12,1202
2014-11-13,1217
2014-11-14,1261
2014-11-15,370
2014-11-16,7
2014-11-17,17
2014-11-18,1058
2014-11-19,1341
2014-11-20,1358
2014-11-21,1408
2014-11-22,413
2014-11-23,8
2014-11-24,954
2014-11-25,1180
2014-11-26,1497
2014-11-27,1516
2014-11-28,1571
2014-11-29,461
2014-11-30,9
2014-12-01,856
2014-12-02,1058
2014-12-03,1342
2014-12-04,1359
2014-12-05,1409
2014-12-06,413
2014-12-07,8
2014-12-08,19
2014-12-09,1181
2014-12-10,1498
2014-12-11,1517
2014-12-12,1573
2014-12-13,461
2014-12-14,9
2014-12-15,1066
2014-12-16,1319
2014-12-17,1672
2014-12-18,1693
2014-12-19,1755
2014-12-20,515
2014-12-21,10
2014-12-22,1190
2014-12-23,1472
2014-12-24,1866
2014-12-25,38
2014-12-26,1959
2014-12-27,575
2014-12-28,11
2014-12-29,1328
2014-12-30,1643
2014-12-31,2083
2015-01-01,14
2015-01-02,742
2015-01-03,218
2015-01-04,4
2015-01-05,503
2015-01-06,622
2015-01-07,707
2015-01-08,799
2015-01-09,828
2015-01-10,243
2015-01-11,5
2015-01-12,11
2015-01-13,694
2015-01-14,789
2015-01-15,892
2015-01-16,924
2015-01-17,271
2015-01-18,5
2015-01-19,626
2015-01-20,775
2015-01-21,880
2015-01-22,995
2015-01-23,1031
2015-01-24,303
2015-01-25,6
2015-01-26,699
2015-01-27,865
2015-01-28,983
2015-01-29,1111
2015-01-30,1151
2015-01-31,338
2015-02-01,5
2015-02-02,604
2015-02-03,747
2015-02-04,848
2015-02-05,959
2015-02-06,994
2015-02-07,292
2015-02-08,5
2015-02-09,674
2015-02-10,833
2015-02-11,947
2015-02-12,1070
2015-02-13,1109
2015-02-14,325
2015-02-15,6
2015-02-16,752
2015-02-17,930
2015-02-18,1057
2015-02-19,1195
2015-02-20,1238
2015-02-21,363
2015-02-22,7
2015-02-23,839
2015-02-24,1038
2015-02-25,1179
2015-02-26,1333
2015-02-27,1382
2015-02-28,405
2015-03-01,5
2015-03-02,622
2015-03-03,769
2015-03-04,873
2015-03-05,987
2015-03-06,1023
2015-03-07,300
2015-03-08,6
2015-03-09,694
2015-03-10,858
2015-03-11,975
2015-03-12,1102
2015-03-13,1142
2015-03-14,335
2015-03-15,6
2015-03-16,774
2015-03-17,958
2015-03-18,1088
2015-03-19,1230
2015-03-20,1275
2015-03-21,374
2015-03-22,7
2015-03-23,17
2015-03-24,1069
2015-03-25,1214
2015-03-26,1373
2015-03-27,1423
2015-03-28,417
2015-03-29,8
2015-03-30,965
2015-03-31,1193
2015-04-01,839
2015-04-02,19
2015-04-03,20
2015-04-04,288
2015-04-05,5
2015-04-06,666
2015-04-07,824
2015-04-08,937
2015-04-09,1059
2015-04-10,1097
2015-04-11,322
2015-04-12,6
2015-04-13,744
2015-04-14,920
2015-04-15,1045
2015-04-16,1182
2015-04-17,1225
2015-04-18,359
2015-04-19,7
2015-04-20,830
2015-04-21,1027
2015-04-22,1167
2015-04-23,1319
2015-04-24,1367
2015-04-25,401
2015-04-26,7
2015-04-27,927
2015-04-28,1146
2015-04-29,1302
2015-04-30,1472
2015-05-01,18
2015-05-02,263
2015-05-03,5
2015-05-04,608
2015-05-05,752
2015-05-06,855
2015-05-07,966
2015-05-08,1002
2015-05-09,294
2015-05-10,5
2015-05-11,679
2015-05-12,840
2015-05-13,954
2015-05-14,1078
2015-05-15,1118
2015-05-16,328
2015-05-17,6
2015-05-18,15
2015-05-19,937
2015-05-20,1065
2015-05-21,1204
2015-05-22,1248
2015-05-23,366
2015-05-24,7
2015-05-25,846
2015-05-26,1046
2015-05-27,1189
2015-05-28,1344
2015-05-29,1393
2015-05-30,409
2015-05-31,8
2015-06-01,605
2015-06-02,749
2015-06-03,851
2015-06-04,962
2015-06-05,997
2015-06-06,292
2015-06-07,5
2015-06-08,14
2015-06-09,836
2015-06-10,950
2015-06-11,1073
2015-06-12,1112
2015-06-13,326
2015-06-14,6
2015-06-15,15
2015-06-16,933
2015-06-17,1060
2015-06-18,1198
2015-06-19,1242
2015-06-20,364
2015-06-21,7
2015-06-22,842
2015-06-23,1041
2015-06-24,1183
2015-06-25,1337
2015-06-26,1386
2015-06-27,407
2015-06-28,8
2015-06-29,19
2015-06-30,1162
2015-07-01,846
2015-07-02,956
2015-07-03,991
2015-07-04,291
2015-07-05,5
2015-07-06,672
2015-07-07,831
2015-07-08,944
2015-07-09,1067
2015-07-10,1106
2015-07-11,325
2015-07-12,6
2015-07-13,750
2015-07-14,928
2015-07-15,1054
2015-07-16,1191
2015-07-17,1235
2015-07-18,362
2015-07-19,7
2015-07-20,17
2015-07-21,1035
2015-07-22,1176
2015-07-23,1330
2015-07-24,1378
2015-07-25,404
2015-07-26,7
2015-07-27,934
2015-07-28,1155
2015-07-29,1313
2015-07-30,1484
2015-07-31,1538
2015-08-01,282
2015-08-02,5
2015-08-03,652
2015-08-04,806
2015-08-05,916
2015-08-06,1035
2015-08-07,22
2015-08-08,315
2015-08-09,6
2015-08-10,728
2015-08-11,900
2015-08-12,1022
2015-08-13,1156
2015-08-14,1198
2015-08-15,351
2015-08-16,7
2015-08-17,16
2015-08-18,1004
2015-08-19,1141
2015-08-20,1290
2015-08-21,1337
2015-08-22,392
2015-08-23,7
2015-08-24,906
2015-08-25,1121
2015-08-26,1274
2015-08-27,1440
2015-08-28,1492
2015-08-29,438
2015-08-30,8
2015-08-31,1012
2015-09-01,762
2015-09-02,866
2015-09-03,979
2015-09-04,1014
2015-09-05,298
2015-09-06,6
2015-09-07,688
2015-09-08,850
2015-09-09,966
2015-09-10,1092
2015-09-11,1132
2015-09-12,332
2015-09-13,6
2015-09-14,767
2015-09-15,949
2015-09-16,1079
2015-09-17,1219
2015-09-18,1264
2015-09-19,371
2015-09-20,7
2015-09-21,857
2015-09-22,1059
2015-09-23,1204
2015-09-24,1361
2015-09-25,1410
2015-09-26,414
2015-09-27,8
2015-09-28,956
2015-09-29,1183
2015-09-30,1344
2015-10-01,909
2015-10-02,942
2015-10-03,276
2015-10-04,5
2015-10-05,639
2015-10-06,790
2015-10-07,897
2015-10-08,1014
2015-10-09,1051
2015-10-10,308
2015-10-11,6
2015-10-12,14
2015-10-13,882
2015-10-14,1002
2015-10-15,1132
2015-10-16,1174
2015-10-17,344
2015-10-18,6
2015-10-19,796
2015-10-20,984
2015-10-21,1118
2015-10-22,1264
2015-10-23,1310
2015-10-24,384
2015-10-25,7
2015-10-26,888
2015-10-27,1098
2015-10-28,1248
2015-10-29,1410
2015-10-30,1462
2015-10-31,429
2015-11-01,5
2015-11-02,13
2015-11-03,802
2015-11-04,911
2015-11-05,1030
2015-11-06,1067
2015-11-07,313
2015-11-08,6
2015-11-09,724
2015-11-10,895
2015-11-11,1017
2015-11-12,1149
2015-11-13,1191
2015-11-14,350
2015-11-15,6
2015-11-16,16
2015-11-17,999
2015-11-18,1135
2015-11-19,1283
2015-11-20,1330
2015-11-21,390
2015-11-22,7
2015-11-23,901
2015-11-24,1115
2015-11-25,1267
2015-11-26,1432
2015-11-27,1484
2015-11-28,435
2015-11-29,8
2015-11-30,1006
2015-12-01,1000
2015-12-02,1136
2015-12-03,1284
2015-12-04,1331
2015-12-05,390
2015-12-06,7
2015-12-07,902
2015-12-08,22
2015-12-09,1268
2015-12-10,1433
2015-12-11,1485
2015-12-12,436
2015-12-13,8
2015-12-14,1007
2015-12-15,1245
2015-12-16,1415
2015-12-17,1599
2015-12-18,1658
2015-12-19,486
2015-12-20,9
2015-12-21,1124
2015-12-22,1390
2015-12-23,1579
2015-12-24,1785
2015-12-25,37
2015-12-26,543
2015-12-27,10
2015-12-28,1254
2015-12-29,1551
2015-12-30,1763
2015-12-31,1993
2016-01-01,14
2016-01-02,206
2016-01-03,4
2016-01-04,475
2016-01-05,587
2016-01-06,667
2016-01-07,676
2016-01-08,782
2016-01-09,229
2016-01-10,4
2016-01-11,11
2016-01-12,656
2016-01-13,745
